SampleID	Haplogroup	Overall_Rank
HG02182	B5a	0.6947
HG02184	R0+16189	0.5457
HG02185	M7b1a1+(16192)	0.7547
HG02186	B5a1a	0.6991
HG02187	M7c1a	0.7049
HG02188	F1a2a	0.7424
HG02190	D5a2b	0.7668
HG02215	H3m	0.6187
HG02219	H6a1a	0.7553
HG02220	K1a4	0.8440
HG02221	U5a1i1	0.8900
HG02223	H1ak	0.6169
HG02224	H2a1	0.8092
HG02230	H15b	0.6889
HG02231	H2a	0.6084
HG02232	T2	0.7504
HG02233	H2a	0.5644
HG02235	T2b3+151	0.7554
HG02236	H2a	0.6034
HG02238	H2a	0.6788
HG02239	H2a	0.6368
HG02250	R11b1	0.7012
HG02252	B2	0.6204
HG02253	B2	0.6396
HG02255	L3d4	0.7515
HG02256	C1d	0.6952
HG02259	B2	0.7401
HG02260	A2	0.8020
HG02262	A2+(64)	0.7577
HG02265	C	0.7468
HG02266	C	0.6874
HG02271	B2	0.7590
HG02272	B2	0.7338
HG02274	D1	0.7249
HG02275	C	0.7139
HG02277	B2	0.7246
HG02278	C	0.7251
HG02281	L2a1l1	0.7947
HG02282	L1c2a1b	0.8012
HG02283	L1c2a2	0.7652
HG02284	L2b2a	0.7522
HG02285	D1	0.7424
HG02286	B2	0.6164
HG02291	A2	0.7585
HG02292	C	0.7198
HG02298	A2+(64)+@153	0.7848
HG02299	B2y	0.7181
HG02301	A2+(64)+@153	0.6972
HG02304	L3f1b+16292+150	0.7403
HG02307	L1b1a3	0.7938
HG02308	L3e2b	0.8274
HG02309	L3b1a	0.7703
HG02312	B2b2	0.6207
HG02314	L2a1i1	0.8113
HG02315	L3e2b	0.8544
HG02317	L2a1c5	0.8138
HG02318	L3d1b2	0.7675
HG02322	L1c1a2	0.7413
HG02323	L3e1e	0.8319
HG02325	L2a1+143+16189  (16192)	0.7928
